brand,model,fuel,build_year,mileage_km,transmission,body_type,title,price_cents,url
Audi,Q8,Overige brandstoffen,,4150,Automaat,SUV of Terreinwagen,Audi Q8 60 TFSIe Quattro | 4Wsturing | Massage | 360 Cam.,12988000,https://www.marktplaats.nl/v/auto-s/audi/m2410870885-audi-q8-60-tfsie-quattro-4wsturing-massage-360-cam
Audi,A1,Diesel,2015,328009,Handgeschakeld,Hatchback,Audi A1 Sportback 1.4 TDI Sport Pro Line,495000,https://www.marktplaats.nl/v/auto-s/audi/m2410870433-audi-a1-sportback-1-4-tdi-sport-pro-line
Audi,A8,Hybride Elektrisch/Benzine,2020,126250,Automaat,Sedan,Audi A8 60 TFSie 449PK / Audi Design Ed / B&O / Softclose /,4499500,https://www.marktplaats.nl/v/auto-s/audi/m2410870261-audi-a8-60-tfsie-449pk-audi-design-ed-b-o-softclose
Audi,A4,Benzine,2006,325354,Automaat,Stationwagon,Audi A4 2.0 96KW Avant Automaat leder,199900,https://www.marktplaats.nl/v/auto-s/audi/m2329604548-audi-a4-2-0-96kw-avant-automaat-leder
Audi,Q3,Hybride Elektrisch/Benzine,2026,28,Automaat,SUV of Terreinwagen,Audi Q3 1.5 200kW 272pk e-hybrid S-Line Pano/Leder/Tech Plus,6574500,https://www.marktplaats.nl/v/auto-s/audi/m2410867954-audi-q3-1-5-200kw-272pk-e-hybrid-s-line-pano-leder-tech-plus
Audi,A3,Hybride Elektrisch/Benzine,2025,6493,Automaat,Hatchback,Audi A3 allstreet 40 TFSI e Advanced edition l Adaptive crui,4490000,https://www.marktplaats.nl/v/auto-s/audi/m2410867847-audi-a3-allstreet-40-tfsi-e-advanced-edition-l-adaptive-crui
Audi,A3,Hybride Elektrisch/Benzine,2025,6905,Automaat,Hatchback,Audi A3 allstreet 40 TFSI e Advanced edition l Adaptive crui,4390000,https://www.marktplaats.nl/v/auto-s/audi/m2410867616-audi-a3-allstreet-40-tfsi-e-advanced-edition-l-adaptive-crui
Audi,Q5,Benzine,2015,171411,Automaat,SUV of Terreinwagen,Audi Q5 2.0 TFSI Q. S EDIT.,1850000,https://www.marktplaats.nl/v/auto-s/audi/m2410867428-audi-q5-2-0-tfsi-q-s-edit
Audi,A4,Benzine,2013,144363,Automaat,Sedan,Audi A4 2.0 TFSI Q.PROLINE S,1585000,https://www.marktplaats.nl/v/auto-s/audi/m2410867398-audi-a4-2-0-tfsi-q-proline-s
Audi,Q7,Hybride Elektrisch/Benzine,2021,39499,Automaat,SUV of Terreinwagen,Audi Q7 55 TFSI e Quattro Pro Line S-Line Pano ACC Matrix LE,6390000,https://www.marktplaats.nl/v/auto-s/audi/m2410866561-audi-q7-55-tfsi-e-quattro-pro-line-s-line-pano-acc-matrix-le
Audi,Q3,Hybride Elektrisch/Benzine,2022,58813,Automaat,SUV of Terreinwagen,Audi Q3 Sportback 45 TFSI e S-Line Black Ed. ACC Carbon 360,3895000,https://www.marktplaats.nl/v/auto-s/audi/m2410866428-audi-q3-sportback-45-tfsi-e-s-line-black-ed-acc-carbon-360
Audi,A8,Diesel,2010,328520,Automaat,Sedan,Audi A8 3.0 TDI quattro 180 KW,895000,https://www.marktplaats.nl/v/auto-s/audi/m2410864403-audi-a8-3-0-tdi-quattro-180-kw
Audi,A5,Diesel,2012,242300,Automaat,Hatchback,Audi A5 Sportback 3.0 TDI quattro NAVI/XENON/LED,695000,https://www.marktplaats.nl/v/auto-s/audi/m2410864298-audi-a5-sportback-3-0-tdi-quattro-navi-xenon-led
Audi,Q7,Hybride Elektrisch/Benzine,2020,71888,Automaat,SUV of Terreinwagen,Audi Q7 55 TFSI e quattro Pro Line S- Panoramadak,4999500,https://www.marktplaats.nl/v/auto-s/audi/m2410864183-audi-q7-55-tfsi-e-quattro-pro-line-s-panoramadak
Audi,A1,Benzine,2016,139494,Handgeschakeld,Hatchback,Audi A1 Sportback 1.0 TFSI Adrenalin 2X S LINE / AIRCO / CRU,1045000,https://www.marktplaats.nl/v/auto-s/audi/m2410493229-audi-a1-sportback-1-0-tfsi-adrenalin-2x-s-line-airco-cru
Audi,A6,Hybride Elektrisch/Benzine,2021,79919,Automaat,Stationwagon,Audi A6 Avant 50 TFSI e q. S edit/PANO/TREKHAAK/CARPLAY,3595000,https://www.marktplaats.nl/v/auto-s/audi/m2403422491-audi-a6-avant-50-tfsi-e-q-s-edit-pano-trekhaak-carplay
Audi,A4,Benzine,2011,268152,Handgeschakeld,Stationwagon,Audi A4 Avant 1.8 TFSI Pro Line S Line | Bang & olufsen | Ni,599500,https://www.marktplaats.nl/v/auto-s/audi/m2410863398-audi-a4-avant-1-8-tfsi-pro-line-s-line-bang-olufsen-ni
Audi,A1,Benzine,2016,131315,Automaat,Hatchback,Audi A1 Sportback 1.0 TFSI Adrenalin # S-Line # Automaat # P,1295000,https://www.marktplaats.nl/v/auto-s/audi/m2410863340-audi-a1-sportback-1-0-tfsi-adrenalin-s-line-automaat-p
Audi,E-tron,Elektrisch,2023,42077,Automaat,SUV of Terreinwagen,"Audi e-tron 55 quattro S edition 95 kWh ""Black Edition"" | Pa",4070000,https://www.marktplaats.nl/v/auto-s/audi/m2410862000-audi-e-tron-55-quattro-s-edition-95-kwh-black-edition-pa
Audi,A4,Benzine,2018,191950,Automaat,Stationwagon,"Audi A4 Avant 1.4 TFSI Sport 3X S line, Leder, Led, Clima, C",1594000,https://www.marktplaats.nl/v/auto-s/audi/m2410861922-audi-a4-avant-1-4-tfsi-sport-3x-s-line-leder-led-clima-c
Audi,A6,Benzine,2005,353774,Automaat,Stationwagon,Audi A6 Avant 2.4 Pro Line *EXPORT*ZO MEE...*INRUILKOOPJE...,99900,https://www.marktplaats.nl/v/auto-s/audi/m2410861771-audi-a6-avant-2-4-pro-line-export-zo-mee-inruilkoopje
Audi,A1,Benzine,2025,7041,Automaat,Hatchback,Audi A1 allstreet 30 TFSI Advanced edition l Adaptive cruise,3490000,https://www.marktplaats.nl/v/auto-s/audi/m2410861661-audi-a1-allstreet-30-tfsi-advanced-edition-l-adaptive-cruise
Audi,S3,Benzine,2013,205386,Automaat,Hatchback,Audi S3 Sportback 2.0 TFSI Quattro Pro Line Plus Aut. *PANO,1694500,https://www.marktplaats.nl/v/auto-s/audi/m2410861619-audi-s3-sportback-2-0-tfsi-quattro-pro-line-plus-aut-pano
Audi,A1,Benzine,2016,67050,Automaat,Hatchback,Audi A1 Sportback 1.4 TFSI Sport Pro Line S|PANO|DSG|LED|STO,1890000,https://www.marktplaats.nl/v/auto-s/audi/m2410861567-audi-a1-sportback-1-4-tfsi-sport-pro-line-s-pano-dsg-led-sto
Audi,Q7,Hybride Elektrisch/Benzine,2025,7997,Automaat,SUV of Terreinwagen,Audi Q7 60 TFSI e quattro Pro Line S Competition 490 PK l Ad,9740000,https://www.marktplaats.nl/v/auto-s/audi/m2410861383-audi-q7-60-tfsi-e-quattro-pro-line-s-competition-490-pk-l-ad
Audi,Q5,Hybride Elektrisch/Benzine,2023,92949,Automaat,SUV of Terreinwagen,Audi Q5 Sportback 55 TFSI e S edition | PANO-SCHUIFDAK | B&O,4390000,https://www.marktplaats.nl/v/auto-s/audi/m2410859927-audi-q5-sportback-55-tfsi-e-s-edition-pano-schuifdak-b-o
Audi,A3,Benzine,2012,143500,Handgeschakeld,Cabriolet,Audi A3 1.2 Tfsi 77KW S line Cabriolet 2012 zilvergrijs,890000,https://www.marktplaats.nl/v/auto-s/audi/m2400855860-audi-a3-1-2-tfsi-77kw-s-line-cabriolet-2012-zilvergrijs
Audi,A4,Benzine,2011,290155,Handgeschakeld,Stationwagon,Audi A4 Avant 1.8 TFSI Pro Line Business,375000,https://www.marktplaats.nl/v/auto-s/audi/m2410859349-audi-a4-avant-1-8-tfsi-pro-line-business
Audi,Q7,Hybride Elektrisch/Benzine,2020,67805,Automaat,SUV of Terreinwagen,Audi Q7 55 TFSI e Quattro S-Line|PANO|MEMORY|ACC|LUCHTVERING,5690000,https://www.marktplaats.nl/v/auto-s/audi/m2410858813-audi-q7-55-tfsi-e-quattro-s-line-pano-memory-acc-luchtvering
Audi,A4,Diesel,2016,241178,Handgeschakeld,Sedan,Audi A4 Limousine 2.0 TDI Sport Pro Line (bj 2016),999900,https://www.marktplaats.nl/v/auto-s/audi/m2407423788-audi-a4-limousine-2-0-tdi-sport-pro-line-bj-2016
Audi,A8,Benzine,2010,226906,Automaat,Sedan,Audi A8 4.2 FSI 372PK quattro Pro Line+ VOL! | SCHUIFDAK | L,1594400,https://www.marktplaats.nl/v/auto-s/audi/m2410857719-audi-a8-4-2-fsi-372pk-quattro-pro-line-vol-schuifdak-l
Audi,A4,Benzine,2015,174027,Automaat,Stationwagon,Audi A4 Avant 1.8 TFSI S-Line Sport Edition |Autom.|Luxe|,1199900,https://www.marktplaats.nl/v/auto-s/audi/m2410857307-audi-a4-avant-1-8-tfsi-s-line-sport-edition-autom-luxe
Audi,Q5,Hybride Elektrisch/Benzine,2026,10,Automaat,SUV of Terreinwagen,Audi Q5 2.0 TFSI e-hybrid quattro S Edition Competition | Pa,8565000,https://www.marktplaats.nl/v/auto-s/audi/m2410857204-audi-q5-2-0-tfsi-e-hybrid-quattro-s-edition-competition-pa
Audi,A3,Benzine,2021,129799,Automaat,Sedan,Audi A3 Limousine 30 TFSI S-Line Maxton Navi Carplay Camera,2475000,https://www.marktplaats.nl/v/auto-s/audi/m2410857137-audi-a3-limousine-30-tfsi-s-line-maxton-navi-carplay-camera
Audi,S3,Benzine,2014,166703,Automaat,Hatchback,Audi S3 2.0 TFSI S3 quattro|ACC|Leder|,1949500,https://www.marktplaats.nl/v/auto-s/audi/m2410857139-audi-s3-2-0-tfsi-s3-quattro-acc-leder
Audi,E-tron,Elektrisch,2020,129361,Automaat,SUV of Terreinwagen,Audi E-tron 50 Quattro Edition Trekhaak Luchtvering Soh92.5%,2000000,https://www.marktplaats.nl/v/auto-s/audi/m2410857130-audi-e-tron-50-quattro-edition-trekhaak-luchtvering-soh92-5
Audi,A3,Benzine,2020,93539,Automaat,Hatchback,Audi A3 Sportback 30 TFSI Business edition Nav Parkeersensor,1985000,https://www.marktplaats.nl/v/auto-s/audi/m2410857131-audi-a3-sportback-30-tfsi-business-edition-nav-parkeersensor
Audi,A4,Diesel,2011,241624,Automaat,Stationwagon,Audi A4 allroad quattro 3.0 TDI Pro Line Bang & Olufsen Pano,995000,https://www.marktplaats.nl/v/auto-s/audi/m2410856663-audi-a4-allroad-quattro-3-0-tdi-pro-line-bang-olufsen-pano
Audi,A5,Benzine,2019,185593,Automaat,Hatchback,Audi A5 Sportback 35 TFSI Pro Line S TRONIC-AUTOMAAT-NAVI-LE,1999900,https://www.marktplaats.nl/v/auto-s/audi/m2410856580-audi-a5-sportback-35-tfsi-pro-line-s-tronic-automaat-navi-le
Audi,A3,Benzine,2021,86073,Handgeschakeld,Hatchback,Audi A3 Sportback 30 TFSI Business edition APPLE CARPLAY/ TR,1995000,https://www.marktplaats.nl/v/auto-s/audi/m2410856562-audi-a3-sportback-30-tfsi-business-edition-apple-carplay-tr
Audi,A4,Benzine,2014,216256,Automaat,Stationwagon,Audi A4 Avant 1.8 TFSI Sport Edition automaat NAP,985000,https://www.marktplaats.nl/v/auto-s/audi/m2410855417-audi-a4-avant-1-8-tfsi-sport-edition-automaat-nap
Audi,A6,Hybride Elektrisch/Benzine,2021,125115,Automaat,Stationwagon,Audi A6 Avant 55 TFSI e quattro Competition,3444900,https://www.marktplaats.nl/v/auto-s/audi/m2410853877-audi-a6-avant-55-tfsi-e-quattro-competition
Audi,A4,Benzine,2015,187729,Automaat,Stationwagon,Audi A4 allroad quattro 2.0 TFSI Pro Line Automaat,1394500,https://www.marktplaats.nl/v/auto-s/audi/m2410852582-audi-a4-allroad-quattro-2-0-tfsi-pro-line-automaat
Audi,Q5,Hybride Elektrisch/Benzine,2026,10,Automaat,SUV of Terreinwagen,Audi Q5 Sportback 2.0 TFSI e-hybrid quattro S Edition Compet,8335000,https://www.marktplaats.nl/v/auto-s/audi/m2410850063-audi-q5-sportback-2-0-tfsi-e-hybrid-quattro-s-edition-compet
Audi,A8,Benzine,2012,50451,Automaat,Sedan,Audi A8 4.2 FSI quattro Lang Exclusive*Panoramadak*Massage*L,2490000,https://www.marktplaats.nl/v/auto-s/audi/m2410849788-audi-a8-4-2-fsi-quattro-lang-exclusive-panoramadak-massage-l
Audi,A1,Benzine,2012,252101,Handgeschakeld,Hatchback,Audi A1 1.2 Tfsi 2012 Zwart Cruise APK 03-02-2027 Airco Navi,355000,https://www.marktplaats.nl/v/auto-s/audi/m2410848017-audi-a1-1-2-tfsi-2012-zwart-cruise-apk-03-02-2027-airco-navi
Audi,Q5,Hybride Elektrisch/Benzine,2026,10,Automaat,SUV of Terreinwagen,Audi Q5 Sportback 2.0 TFSI e-hybrid quattro S Edition Compet,9195000,https://www.marktplaats.nl/v/auto-s/audi/m2410848138-audi-q5-sportback-2-0-tfsi-e-hybrid-quattro-s-edition-compet
Audi,RSQ3,Benzine,2022,92769,Automaat,SUV of Terreinwagen,Audi RSQ3 TFSI RS / Panorama/ Full spec,6199900,https://www.marktplaats.nl/v/auto-s/audi/m2410847444-audi-rsq3-tfsi-rs-panorama-full-spec
Audi,Q8,Hybride Elektrisch/Benzine,2024,12741,Automaat,SUV of Terreinwagen,Audi Q8 60 TFSI e quattro Pro Line S Competition,8599900,https://www.marktplaats.nl/v/auto-s/audi/m2410847310-audi-q8-60-tfsi-e-quattro-pro-line-s-competition
Audi,RSQ8,Benzine,2024,44809,Automaat,SUV of Terreinwagen,Audi RSQ8 4.0 TFSI RS Q8 quattro,14499900,https://www.marktplaats.nl/v/auto-s/audi/m2410847271-audi-rsq8-4-0-tfsi-rs-q8-quattro
Audi,A4,Diesel,2015,188000,Automaat,Sedan,Audi A4 2.0 TDI Sport (STUURBEKRACHTIGING DEFECT!),999900,https://www.marktplaats.nl/v/auto-s/audi/m2410846751-audi-a4-2-0-tdi-sport-stuurbekrachtiging-defect
Audi,A6,Diesel,2014,245450,Automaat,Stationwagon,Audi A6 Avant 3.0TDI 245pk Quattro Autom. Sport Edition Lede,1190000,https://www.marktplaats.nl/v/auto-s/audi/m2410846675-audi-a6-avant-3-0tdi-245pk-quattro-autom-sport-edition-lede
Audi,A3,Benzine,2019,230000,Automaat,Hatchback,Audi A3 30 Tfsi 116pk S Tronic 2019 Zwart,1000000,https://www.marktplaats.nl/v/auto-s/audi/m2410846251-audi-a3-30-tfsi-116pk-s-tronic-2019-zwart
Audi,A3,Benzine,2007,216000,Handgeschakeld,Hatchback,Audi A3 2.0 TFSI S3 quattro Ambition Pro Line 216000km(2007),999900,https://www.marktplaats.nl/v/auto-s/audi/m2410846263-audi-a3-2-0-tfsi-s3-quattro-ambition-pro-line-216000km-2007
Audi,A6,Diesel,2015,178520,Automaat,Stationwagon,Audi A6 Avant 2.0 TDI ultra Business Edition (bj 2015),1375000,https://www.marktplaats.nl/v/auto-s/audi/m2410845665-audi-a6-avant-2-0-tdi-ultra-business-edition-bj-2015
Audi,A3,Benzine,2018,71834,Automaat,Hatchback,Audi A3 30 TFSI Sport Edition Aut. [ Navi Sportstoelen LED ],1670900,https://www.marktplaats.nl/v/auto-s/audi/m2410844503-audi-a3-30-tfsi-sport-edition-aut-navi-sportstoelen-led
Audi,A3,Benzine,2022,115500,Automaat,Hatchback,Audi A3 35 Tfsi S edition 150pk S-tronic 2022 Blauw,2699500,https://www.marktplaats.nl/v/auto-s/audi/m2409570202-audi-a3-35-tfsi-s-edition-150pk-s-tronic-2022-blauw
Audi,A3,Hybride Elektrisch/Benzine,2015,166974,Automaat,Hatchback,Audi A3 Sportback 1.4 e-tron PHEV Attraction Pro Line plus,1399900,https://www.marktplaats.nl/v/auto-s/audi/m2410843028-audi-a3-sportback-1-4-e-tron-phev-attraction-pro-line-plus
Audi,A6,Benzine,2012,139777,Automaat,Sedan,Audi A6 2.0 Tfsi 132KW Multitronic 2012 Blauw metalic,999500,https://www.marktplaats.nl/v/auto-s/audi/m2410841350-audi-a6-2-0-tfsi-132kw-multitronic-2012-blauw-metalic
Audi,A5,Hybride Elektrisch/Benzine,2019,161393,Automaat,Hatchback,Audi A5 Sportback 40 TFSI Design Pro Line Plus | Stuurwiel v,2379500,https://www.marktplaats.nl/v/auto-s/audi/m2410840913-audi-a5-sportback-40-tfsi-design-pro-line-plus-stuurwiel-v
Audi,Q3,Hybride Elektrisch/Benzine,2022,86299,Automaat,SUV of Terreinwagen,Audi Q3 Sportback 45 TFSI e S Edition | Panorama | Virtual |,3679500,https://www.marktplaats.nl/v/auto-s/audi/m2410840836-audi-q3-sportback-45-tfsi-e-s-edition-panorama-virtual
Audi,Q4 e-tron,Elektrisch,2022,99998,Automaat,SUV of Terreinwagen,Audi Q4 e-tron 35 Advanced Edition SOH 91% Adap.Cruise AdapD,2444000,https://www.marktplaats.nl/v/auto-s/audi/m2410840566-audi-q4-e-tron-35-advanced-edition-soh-91-adap-cruise-adapd
Audi,A6,Diesel,2019,96278,Automaat,Sedan,Audi A6 Limousine 50TDI Diesel 286pk Quattro Hybride S-Line,3889500,https://www.marktplaats.nl/v/auto-s/audi/m2410840523-audi-a6-limousine-50tdi-diesel-286pk-quattro-hybride-s-line
Audi,Q3,Benzine,2022,62327,Automaat,SUV of Terreinwagen,"Audi Q3 Sportback TFSI RS, Super netjes!",5995000,https://www.marktplaats.nl/v/auto-s/audi/m2410840218-audi-q3-sportback-tfsi-rs-super-netjes
Audi,A4,Benzine,2009,179012,Automaat,Stationwagon,Audi A4 Avant 1.8T 161pk AUT. Navi Ecc Cruise Control Pro Li,689500,https://www.marktplaats.nl/v/auto-s/audi/m2410840119-audi-a4-avant-1-8t-161pk-aut-navi-ecc-cruise-control-pro-li
Audi,A4,Benzine,2013,126638,Automaat,Sedan,Audi A4 Limousine 2.0 TFSI Pro Line Xenon|Cruise C.|Stoel Ve,1499900,https://www.marktplaats.nl/v/auto-s/audi/m2410839913-audi-a4-limousine-2-0-tfsi-pro-line-xenon-cruise-c-stoel-ve
Audi,A2,Benzine,2000,269081,Handgeschakeld,Hatchback,Audi 2000 Grijs,0,https://www.marktplaats.nl/v/auto-s/audi/m2410839663-audi-2000-grijs
Audi,A4,Benzine,2017,144780,Handgeschakeld,Sedan,Audi A4 Limousine 1.4 TFSI Sport 3 x Sline Open dak | Leer |,1795000,https://www.marktplaats.nl/v/auto-s/audi/m2410838165-audi-a4-limousine-1-4-tfsi-sport-3-x-sline-open-dak-leer
Audi,A5,Benzine,2023,106000,Automaat,Hatchback,Audi A5 Sportback S-Line | 2023 | Automaat | 20” Sportvelgen,3700000,https://www.marktplaats.nl/v/auto-s/audi/m2400833367-audi-a5-sportback-s-line-2023-automaat-20-sportvelgen
Audi,A3,Hybride Elektrisch/Benzine,2015,268546,Automaat,Hatchback,Audi A3 Sportback 1.4 e-tron PHEV Attraction Pro Line plus,790000,https://www.marktplaats.nl/v/auto-s/audi/m2410836779-audi-a3-sportback-1-4-e-tron-phev-attraction-pro-line-plus
Audi,A3,Hybride Elektrisch/Benzine,2025,7579,Automaat,Hatchback,Audi A3 allstreet 40 TFSI e Advanced edition 204 PK l Adapti,4290000,https://www.marktplaats.nl/v/auto-s/audi/m2410836665-audi-a3-allstreet-40-tfsi-e-advanced-edition-204-pk-l-adapti
Audi,A3,Benzine,2022,48599,Automaat,Sedan,Audi A3 Limousine 30 TFSI 110pk S-tronic Advanced Edition |,2445000,https://www.marktplaats.nl/v/auto-s/audi/m2410836614-audi-a3-limousine-30-tfsi-110pk-s-tronic-advanced-edition
Audi,A6,Diesel,2011,411682,Handgeschakeld,Stationwagon,Audi A6 Avant 2.0 TDIe Pro Line S,495000,https://www.marktplaats.nl/v/auto-s/audi/m2410836352-audi-a6-avant-2-0-tdie-pro-line-s
Audi,A3,Benzine,2013,164877,Automaat,Hatchback,Audi A3 Sportback 1.2 TFSI S Edition Automaat,1095000,https://www.marktplaats.nl/v/auto-s/audi/m2410836343-audi-a3-sportback-1-2-tfsi-s-edition-automaat
Audi,A3,Benzine,2013,112700,Handgeschakeld,Hatchback,Audi A3 Sportback 1.2 TFSI S Edition,1095000,https://www.marktplaats.nl/v/auto-s/audi/m2410836347-audi-a3-sportback-1-2-tfsi-s-edition
Audi,SQ5,Diesel,2013,167392,Automaat,SUV of Terreinwagen,Audi SQ5 3.0 TDI Q5 quattro Aut. Pano.dak Leder Led Nav. Zee,1994500,https://www.marktplaats.nl/v/auto-s/audi/m2410836134-audi-sq5-3-0-tdi-q5-quattro-aut-pano-dak-leder-led-nav-zee
Audi,Q4 e-tron,Elektrisch,2025,7621,Automaat,SUV of Terreinwagen,Audi Q4 Sportback e-tron 45 Edition 82 kWh l Adaptive cruise,5290000,https://www.marktplaats.nl/v/auto-s/audi/m2410835768-audi-q4-sportback-e-tron-45-edition-82-kwh-l-adaptive-cruise
Audi,A5,Hybride Elektrisch/Benzine,2025,31846,Automaat,Stationwagon,Audi A5 Avant 2.0 e-hybrid quattro S edition Competition 367,6390000,https://www.marktplaats.nl/v/auto-s/audi/m2410835472-audi-a5-avant-2-0-e-hybrid-quattro-s-edition-competition-367
Audi,Q3,Hybride Elektrisch/Benzine,2026,10,Automaat,SUV of Terreinwagen,Audi Q3 Sportback 1.5 272pk e-hybrid S Edition | Panoramadak,7395000,https://www.marktplaats.nl/v/auto-s/audi/m2410833648-audi-q3-sportback-1-5-272pk-e-hybrid-s-edition-panoramadak
Audi,A3,Diesel,2021,,Handgeschakeld,Hatchback,Audi A3 30 TDI 116pk 2021 Grijs met nieuwe apk,0,https://www.marktplaats.nl/v/auto-s/audi/m2410160837-audi-a3-30-tdi-116pk-2021-grijs-met-nieuwe-apk
Audi,A4,Hybride Elektrisch/Benzine,2019,83520,Automaat,Sedan,Audi A4 Limousine 35 TFSI Sport Lease Edition Aut. Clima nav,2295000,https://www.marktplaats.nl/v/auto-s/audi/m2410831496-audi-a4-limousine-35-tfsi-sport-lease-edition-aut-clima-nav
Audi,A6,Benzine,2012,190914,,Sedan,Audi A6 Limousine 3.0 TFSI quattro Pro Line S 4X4|LEER|VOL O,1295000,https://www.marktplaats.nl/v/auto-s/audi/m2405028252-audi-a6-limousine-3-0-tfsi-quattro-pro-line-s-4x4-leer-vol-o
Audi,A1,Benzine,2016,116321,Handgeschakeld,Hatchback,Audi A1 Sportback 1.4 TFSI Sport Pro Line S DEALER ONDERHOUD,1245000,https://www.marktplaats.nl/v/auto-s/audi/m2407656260-audi-a1-sportback-1-4-tfsi-sport-pro-line-s-dealer-onderhoud
Audi,A3,Benzine,2010,259205,Automaat,Hatchback,Audi A3 Sportback 1.4 TFSI S-edition NAVI|LEER|TREKHAAK|SCHU,695000,https://www.marktplaats.nl/v/auto-s/audi/m2400285047-audi-a3-sportback-1-4-tfsi-s-edition-navi-leer-trekhaak-schu
Audi,Q3,Hybride Elektrisch/Benzine,2026,2000,Automaat,SUV of Terreinwagen,Audi Q3 1.5 e-hybrid 272pk S edition | S Line Interieur | Te,6604000,https://www.marktplaats.nl/v/auto-s/audi/m2410830516-audi-q3-1-5-e-hybrid-272pk-s-edition-s-line-interieur-te
Audi,A3,Benzine,2019,54479,Automaat,Hatchback,Audi A3 SPORTBACK 40 TFSI S-LINE | VIRTUAL | B&O | KEYLESS |,2499000,https://www.marktplaats.nl/v/auto-s/audi/m2410830417-audi-a3-sportback-40-tfsi-s-line-virtual-b-o-keyless
Audi,A3,Benzine,2020,97100,Automaat,Hatchback,Audi A3 35 TFSI 2020 S-LINE AUT/CRUISE/CARPLAY/DIGI-DASH/LMV,2095000,https://www.marktplaats.nl/v/auto-s/audi/m2410828754-audi-a3-35-tfsi-2020-s-line-aut-cruise-carplay-digi-dash-lmv
Audi,TT,Benzine,2008,70125,Automaat,Cabriolet,"Audi TT 3.2 V6 Quattro PRO LINE, Xenon, Cruise, AUT",1945000,https://www.marktplaats.nl/v/auto-s/audi/m2410828506-audi-tt-3-2-v6-quattro-pro-line-xenon-cruise-aut
Audi,SQ2,Benzine,2020,80375,Automaat,SUV of Terreinwagen,"Audi SQ2 2.0 TFSI QUATTRO, Exclusief Leder, Panorama",2890000,https://www.marktplaats.nl/v/auto-s/audi/m2410828492-audi-sq2-2-0-tfsi-quattro-exclusief-leder-panorama
Audi,Q3,Benzine,2012,212735,Handgeschakeld,SUV of Terreinwagen,"Audi Q3 2.0 TFSI Quattro PRO LINE, Xenon, Navi, Cruise",740000,https://www.marktplaats.nl/v/auto-s/audi/m2410828476-audi-q3-2-0-tfsi-quattro-pro-line-xenon-navi-cruise
Audi,A3,Hybride Elektrisch/Benzine,2020,125760,Automaat,Hatchback,"Audi A3 45 TFSI E S Edition Matrix, Leder, Trekhaak",2375000,https://www.marktplaats.nl/v/auto-s/audi/m2410828453-audi-a3-45-tfsi-e-s-edition-matrix-leder-trekhaak
Audi,A3,Hybride Elektrisch/Benzine,2021,94268,Automaat,Hatchback,Audi A3 Sportback 40 TFSI e Business edition | YM54281 |,2474900,https://www.marktplaats.nl/v/auto-s/audi/m2410828317-audi-a3-sportback-40-tfsi-e-business-edition-ym54281
Audi,Q3,Benzine,2020,106767,Automaat,SUV of Terreinwagen,Audi Q3 Sportback 45 TFSI quattro Pro Line S | DX19145 |,3324900,https://www.marktplaats.nl/v/auto-s/audi/m2410828274-audi-q3-sportback-45-tfsi-quattro-pro-line-s-dx19145
Audi,Q5,Benzine,2018,127091,Automaat,SUV of Terreinwagen,Audi Q5 2.0 TFSI quattro Sport | CJ00081 | (bj 2018),2664900,https://www.marktplaats.nl/v/auto-s/audi/m2410828249-audi-q5-2-0-tfsi-quattro-sport-cj00081-bj-2018
Audi,Q5,Benzine,2018,123774,Automaat,SUV of Terreinwagen,Audi Q5 2.0 TFSI quattro Sport S Line Black Edition QUANTUM,3389900,https://www.marktplaats.nl/v/auto-s/audi/m2410827846-audi-q5-2-0-tfsi-quattro-sport-s-line-black-edition-quantum
Audi,S3,Benzine,2019,113528,Automaat,Hatchback,Audi S3 Sportback 2.0 TFSI S3 quattro Pro Line Plus DAYTONAG,2895000,https://www.marktplaats.nl/v/auto-s/audi/m2410827000-audi-s3-sportback-2-0-tfsi-s3-quattro-pro-line-plus-daytonag
Audi,Q7,Hybride Elektrisch/Diesel,2016,53121,Automaat,SUV of Terreinwagen,Audi Q7 3.0 TDI e-tron quattro Sport S-Line | LED Matrix | L,3375000,https://www.marktplaats.nl/v/auto-s/audi/m2408373499-audi-q7-3-0-tdi-e-tron-quattro-sport-s-line-led-matrix-l
Audi,A3,Benzine,2021,48600,Automaat,Hatchback,Audi - A3 Sportback 35 TFSI Advanced edition,2225000,https://www.marktplaats.nl/v/auto-s/audi/m2400819679-audi-a3-sportback-35-tfsi-advanced-edition
Audi,A5,Hybride Elektrisch/Benzine,2026,10,Automaat,Sedan,Audi A5 Limousine 2.0 e-hybrid 299pk quattro S Edition | Tec,6495000,https://www.marktplaats.nl/v/auto-s/audi/m2410825117-audi-a5-limousine-2-0-e-hybrid-299pk-quattro-s-edition-tec
Audi,A3,Benzine,2018,82000,Automaat,Sedan,Audi A3 1.5 Tfsi 110KW COD Sedan 2018 Zwart,1600000,https://www.marktplaats.nl/v/auto-s/audi/m2410825006-audi-a3-1-5-tfsi-110kw-cod-sedan-2018-zwart
Audi,A3,Hybride Elektrisch/Benzine,2022,97018,Automaat,Hatchback,Audi A3 Sportback 30 TFSI S-Line | Stoelverwarming | Carplay,2245000,https://www.marktplaats.nl/v/auto-s/audi/m2410824993-audi-a3-sportback-30-tfsi-s-line-stoelverwarming-carplay
