brand,model,fuel,build_year,mileage_km,transmission,body_type,title,price_cents,url
Alfa Romeo,Brera,Benzine,2009,149038,Handgeschakeld,Coupé,Alfa Romeo Brera 2.2 JTS SkyWindow Technisch Super Vol Jaar,699900,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2409189743-alfa-romeo-brera-2-2-jts-skywindow-technisch-super-vol-jaar
Alfa Romeo,Giulia,Benzine,2017,117914,Automaat,Sedan,Alfa Romeo Giulia 2.9 V6 Quadrifoglio 570+PK Squadra CARBON/,4749500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2406084490-alfa-romeo-giulia-2-9-v6-quadrifoglio-570-pk-squadra-carbon
Alfa Romeo,MiTo,Benzine,2010,128148,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.4 Distinctive Bovag Garantie Airco,495000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2409102421-alfa-romeo-mito-1-4-distinctive-bovag-garantie-airco
Alfa Romeo,Giulietta,Benzine,2012,219956,Handgeschakeld,Hatchback,Alfa Romeo Giulietta 1.4 T Distinctive | Leer | Navi | Autom,544500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2408741907-alfa-romeo-giulietta-1-4-t-distinctive-leer-navi-autom
Alfa Romeo,Giulietta,Benzine,2011,196498,Handgeschakeld,Hatchback,Alfa Romeo Giulietta 1.4 T Distinctive | Autom. Airco | Crui,442500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2408741921-alfa-romeo-giulietta-1-4-t-distinctive-autom-airco-crui
Alfa Romeo,147,Benzine,2006,111000,Handgeschakeld,Hatchback,Alfa Romeo 147 1.6 T.Spark Progression airco *apk 10-2026*,194500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2408820540-alfa-romeo-147-1-6-t-spark-progression-airco-apk-10-2026
Alfa Romeo,Giulietta,Benzine,2013,149760,Automaat,Hatchback,Alfa Romeo Giulietta 1.4 T Distinctive |Automaat|,795000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2408256532-alfa-romeo-giulietta-1-4-t-distinctive-automaat
Alfa Romeo,Stelvio,Diesel,2018,185546,Automaat,SUV of Terreinwagen,Super nette Stelvio 2.2 JTDm / 240 pk en 520 Nm!!,1745000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2399185699-super-nette-stelvio-2-2-jtdm-240-pk-en-520-nm
Alfa Romeo,MiTo,Benzine,2008,182965,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.4 T Sport / Sportieve auto / APK juni 2027,349900,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2408683006-alfa-romeo-mito-1-4-t-sport-sportieve-auto-apk-juni-2027
Alfa Romeo,Giulietta,Benzine,2016,177182,Automaat,Hatchback,"Alfa Romeo Giulietta 1.4 Turbo MultiAir, Clima, Navi, CC, Le",994000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2411063079-alfa-romeo-giulietta-1-4-turbo-multiair-clima-navi-cc-le
Alfa Romeo,147,Benzine,2003,186508,Handgeschakeld,Hatchback,Alfa Romeo 147 1.6 T.spark 16V 77KW 3DR 2003 Grijs,100000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2409883403-alfa-romeo-147-1-6-t-spark-16v-77kw-3dr-2003-grijs
Alfa Romeo,159,Diesel,2007,277000,Handgeschakeld,Stationwagon,Alfa Romeo 159 1.9 Jtdm 16V SW 2007 Zwart,0,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2340485883-alfa-romeo-159-1-9-jtdm-16v-sw-2007-zwart
